,gridCell.minX,gridCell.minY,gridCell.size,statistics.DebrisMaskArea,statistics.GlacierMaskArea,statistics.afterGlacierMask,statistics.meanElevationDifference,statistics.pointsWithinDebrisMask,statistics.result_avgX,statistics.result_avgY,statistics.result_count_2010,statistics.result_count_2011,statistics.result_count_2012,statistics.result_count_2013,statistics.result_count_2014,statistics.result_count_2015,statistics.result_count_2016,statistics.result_count_2017,statistics.result_count_2018,statistics.result_count_2019,statistics.result_offsetX,statistics.result_offsetY,statistics.result_refDifference_2010,statistics.result_refDifference_2011,statistics.result_refDifference_2012,statistics.result_refDifference_2013,statistics.result_refDifference_2014,statistics.result_refDifference_2015,statistics.result_refDifference_2016,statistics.result_refDifference_2017,statistics.result_refDifference_2018,statistics.result_refDifference_2019,statistics.result_total,statistics.tdx2_filtered,statistics.tdx_filtered,timeseries.dates,timeseries.averages
0,-1600000,-100000,100000,0.8635417001921358,3.401934964024526,106,-22.422802167647344,67,-1536372.7482384818,-21292.23559714952,6,20,18,0,22,7,2,18,5,8,13627.251761518186,1528707.7644028505,-5.928745957358387,-24.88959160629247,-35.16267353548988,0.0,-29.75199146745891,-9.820786859717114,-11.176450642838972,-21.18244352238551,-5.338712373421913,-7.113103925494784,106,,127816.0,"[datetime.datetime(2010, 11, 1, 0, 0), datetime.datetime(2011, 2, 1, 0, 0), datetime.datetime(2011, 5, 1, 0, 0), datetime.datetime(2011, 8, 1, 0, 0), datetime.datetime(2011, 11, 1, 0, 0), datetime.datetime(2012, 2, 1, 0, 0), datetime.datetime(2012, 5, 1, 0, 0), datetime.datetime(2012, 8, 1, 0, 0), datetime.datetime(2012, 11, 1, 0, 0), datetime.datetime(2013, 2, 1, 0, 0), datetime.datetime(2013, 5, 1, 0, 0), datetime.datetime(2013, 8, 1, 0, 0), datetime.datetime(2013, 11, 1, 0, 0), datetime.datetime(2014, 2, 1, 0, 0), datetime.datetime(2014, 5, 1, 0, 0), datetime.datetime(2014, 8, 1, 0, 0), datetime.datetime(2014, 11, 1, 0, 0), datetime.datetime(2015, 2, 1, 0, 0), datetime.datetime(2015, 5, 1, 0, 0), datetime.datetime(2015, 8, 1, 0, 0), datetime.datetime(2015, 11, 1, 0, 0), datetime.datetime(2016, 2, 1, 0, 0), datetime.datetime(2016, 5, 1, 0, 0), datetime.datetime(2016, 8, 1, 0, 0), datetime.datetime(2016, 11, 1, 0, 0), datetime.datetime(2017, 2, 1, 0, 0), datetime.datetime(2017, 5, 1, 0, 0), datetime.datetime(2017, 8, 1, 0, 0), datetime.datetime(2017, 11, 1, 0, 0), datetime.datetime(2018, 2, 1, 0, 0), datetime.datetime(2018, 5, 1, 0, 0), datetime.datetime(2018, 8, 1, 0, 0), datetime.datetime(2018, 11, 1, 0, 0)]","[-15.573068500415332, nan, nan, -28.41952118633544, nan, -31.62662488303522, nan, -37.99151245745361, nan, nan, nan, nan, nan, -31.010831341655614, nan, nan, -3.316354109328131, nan, nan, -9.820786859717114, nan, -11.176450642838972, nan, nan, nan, -13.534476158583857, -25.006427204286336, nan, nan, nan, -5.338712373421913, nan, nan]"
1,-1500000,0,100000,0.2161718923709829,0.7491758942256861,6,-10.264159302643444,0,-1443185.5845514797,29895.76614844253,0,4,1,1,0,0,0,0,0,0,6814.415448520333,1479895.7661484426,0.0,-8.505838041043717,-19.614962095939518,-7.946641555746282,0.0,0.0,0.0,0.0,0.0,0.0,6,,82086.0,,
2,-1500000,400000,100000,10.772159348581901,107.07227237944015,2003,-15.974319378308405,305,-1440701.9268147259,459939.0242271562,140,381,196,155,150,369,160,144,297,11,9298.073185274145,1909939.0242271563,-20.647001207873533,-15.462098952452507,-7.506862868964578,-23.118501112976915,-22.218579670238956,-10.585679540074949,-29.813282711201293,-28.030373958735627,-4.983521721014408,-57.700119465603784,2003,,191837.0,"[datetime.datetime(2010, 11, 1, 0, 0), datetime.datetime(2011, 2, 1, 0, 0), datetime.datetime(2011, 5, 1, 0, 0), datetime.datetime(2011, 8, 1, 0, 0), datetime.datetime(2011, 11, 1, 0, 0), datetime.datetime(2012, 2, 1, 0, 0), datetime.datetime(2012, 5, 1, 0, 0), datetime.datetime(2012, 8, 1, 0, 0), datetime.datetime(2012, 11, 1, 0, 0), datetime.datetime(2013, 2, 1, 0, 0), datetime.datetime(2013, 5, 1, 0, 0), datetime.datetime(2013, 8, 1, 0, 0), datetime.datetime(2013, 11, 1, 0, 0), datetime.datetime(2014, 2, 1, 0, 0), datetime.datetime(2014, 5, 1, 0, 0), datetime.datetime(2014, 8, 1, 0, 0), datetime.datetime(2014, 11, 1, 0, 0), datetime.datetime(2015, 2, 1, 0, 0), datetime.datetime(2015, 5, 1, 0, 0), datetime.datetime(2015, 8, 1, 0, 0), datetime.datetime(2015, 11, 1, 0, 0), datetime.datetime(2016, 2, 1, 0, 0), datetime.datetime(2016, 5, 1, 0, 0), datetime.datetime(2016, 8, 1, 0, 0), datetime.datetime(2016, 11, 1, 0, 0), datetime.datetime(2017, 2, 1, 0, 0), datetime.datetime(2017, 5, 1, 0, 0), datetime.datetime(2017, 8, 1, 0, 0), datetime.datetime(2017, 11, 1, 0, 0), datetime.datetime(2018, 2, 1, 0, 0), datetime.datetime(2018, 5, 1, 0, 0), datetime.datetime(2018, 8, 1, 0, 0), datetime.datetime(2018, 11, 1, 0, 0)]","[-40.62734616290008, nan, -23.658935894982566, -3.8218882297498005, -39.724323240773025, -17.544297506950016, -4.5848215470049585, -10.894810129272454, -18.668099074145335, -57.221577579168056, -8.6048379629555, -5.0978133924588365, -29.443984024810728, -0.30683529137069643, -18.685961180759413, -20.66472165683434, -37.6578571369973, nan, -0.13577598402596766, -11.854027747431047, -41.83081722783044, -34.005460765939276, -26.594311052330973, -32.281953717385335, -27.9403482871269, -26.72070299841101, -11.818280355310062, -21.29697038255372, -41.25200276419073, nan, -16.354793273079487, 6.02484229312502, -43.32951697639543]"
3,-1400000,0,100000,23.87935749702974,63.41296474076794,2053,-10.438545962735517,1346,-1339945.3368839615,57970.01315405514,105,176,312,154,326,222,332,251,169,6,10054.663116038544,1407970.0131540552,-18.66173295288593,-9.903608820815174,-8.233617236191666,-13.118633994817793,-7.109773024272504,-10.878485051085123,-12.928446684990115,-5.4116080175634025,-15.87428094714587,-12.08974282321075,2053,,85282.0,"[datetime.datetime(2010, 11, 1, 0, 0), datetime.datetime(2011, 2, 1, 0, 0), datetime.datetime(2011, 5, 1, 0, 0), datetime.datetime(2011, 8, 1, 0, 0), datetime.datetime(2011, 11, 1, 0, 0), datetime.datetime(2012, 2, 1, 0, 0), datetime.datetime(2012, 5, 1, 0, 0), datetime.datetime(2012, 8, 1, 0, 0), datetime.datetime(2012, 11, 1, 0, 0), datetime.datetime(2013, 2, 1, 0, 0), datetime.datetime(2013, 5, 1, 0, 0), datetime.datetime(2013, 8, 1, 0, 0), datetime.datetime(2013, 11, 1, 0, 0), datetime.datetime(2014, 2, 1, 0, 0), datetime.datetime(2014, 5, 1, 0, 0), datetime.datetime(2014, 8, 1, 0, 0), datetime.datetime(2014, 11, 1, 0, 0), datetime.datetime(2015, 2, 1, 0, 0), datetime.datetime(2015, 5, 1, 0, 0), datetime.datetime(2015, 8, 1, 0, 0), datetime.datetime(2015, 11, 1, 0, 0), datetime.datetime(2016, 2, 1, 0, 0), datetime.datetime(2016, 5, 1, 0, 0), datetime.datetime(2016, 8, 1, 0, 0), datetime.datetime(2016, 11, 1, 0, 0), datetime.datetime(2017, 2, 1, 0, 0), datetime.datetime(2017, 5, 1, 0, 0), datetime.datetime(2017, 8, 1, 0, 0), datetime.datetime(2017, 11, 1, 0, 0), datetime.datetime(2018, 2, 1, 0, 0), datetime.datetime(2018, 5, 1, 0, 0), datetime.datetime(2018, 8, 1, 0, 0), datetime.datetime(2018, 11, 1, 0, 0)]","[-23.53932293433297, nan, -2.5417598203184606, -18.789394673906703, -16.88415813304913, -27.880489368478038, -3.5116913652596957, -10.731015772582609, -4.503426116366739, -7.938858074528815, -12.105141191586716, -16.040838029011596, -12.289972659082046, -28.40473254411313, -5.1510006863882705, -6.841628136301807, nan, 4.5480557894967815, -4.711837742618879, -11.4073090082797, -19.267859704766508, -42.84324901996919, -9.8110697798024, -0.9221456102269552, -10.294173965247616, -32.04331735742099, -14.496701908088927, 5.587725241017604, -2.1298451645862366, nan, -6.363480563286287, -22.840025441340032, -48.21900877180293]"
4,-1400000,100000,100000,2.365824914726348,11.978117310405773,151,-17.00537154965892,92,-1337447.3021037176,131513.59161536596,10,16,32,20,22,20,17,0,13,1,12552.697896282421,1481513.591615366,-41.77050314977314,12.184431136783644,-14.209213359610857,-15.771850870978733,-23.35169658220027,-17.716917253008567,-24.61951921404986,0.0,-22.863137778864605,8.903161870483018,151,,362414.0,"[datetime.datetime(2010, 11, 1, 0, 0), datetime.datetime(2011, 2, 1, 0, 0), datetime.datetime(2011, 5, 1, 0, 0), datetime.datetime(2011, 8, 1, 0, 0), datetime.datetime(2011, 11, 1, 0, 0), datetime.datetime(2012, 2, 1, 0, 0), datetime.datetime(2012, 5, 1, 0, 0), datetime.datetime(2012, 8, 1, 0, 0), datetime.datetime(2012, 11, 1, 0, 0), datetime.datetime(2013, 2, 1, 0, 0), datetime.datetime(2013, 5, 1, 0, 0), datetime.datetime(2013, 8, 1, 0, 0), datetime.datetime(2013, 11, 1, 0, 0), datetime.datetime(2014, 2, 1, 0, 0), datetime.datetime(2014, 5, 1, 0, 0), datetime.datetime(2014, 8, 1, 0, 0), datetime.datetime(2014, 11, 1, 0, 0), datetime.datetime(2015, 2, 1, 0, 0), datetime.datetime(2015, 5, 1, 0, 0), datetime.datetime(2015, 8, 1, 0, 0), datetime.datetime(2015, 11, 1, 0, 0), datetime.datetime(2016, 2, 1, 0, 0), datetime.datetime(2016, 5, 1, 0, 0), datetime.datetime(2016, 8, 1, 0, 0), datetime.datetime(2016, 11, 1, 0, 0), datetime.datetime(2017, 2, 1, 0, 0), datetime.datetime(2017, 5, 1, 0, 0), datetime.datetime(2017, 8, 1, 0, 0), datetime.datetime(2017, 11, 1, 0, 0), datetime.datetime(2018, 2, 1, 0, 0), datetime.datetime(2018, 5, 1, 0, 0), datetime.datetime(2018, 8, 1, 0, 0), datetime.datetime(2018, 11, 1, 0, 0)]","[-47.52341763628907, nan, nan, 12.184431136783644, nan, nan, nan, -14.832296784548523, -9.847629385047185, nan, nan, -15.771850870978733, nan, nan, nan, -24.546074052481632, -15.787305937084966, nan, nan, -17.716917253008567, -3.86668566747976, nan, nan, -33.2665331917874, nan, nan, nan, nan, -22.863137778864605, nan, nan, nan, 8.903161870483018]"
5,-1400000,400000,100000,11.852868103548182,159.25123742787346,4067,-4.189547487860316,150,-1379135.7870156069,454495.27967357164,161,870,720,117,469,664,591,247,228,0,-29135.787015606882,1804495.2796735717,-5.743459843101228,-3.030874399412108,-2.7807105001545898,-31.915574439995726,0.07369779152193719,0.0988445910253979,-7.301440834334798,-7.093799610174548,-7.780592706881317,0.0,4067,,71412.0,"[datetime.datetime(2010, 11, 1, 0, 0), datetime.datetime(2011, 2, 1, 0, 0), datetime.datetime(2011, 5, 1, 0, 0), datetime.datetime(2011, 8, 1, 0, 0), datetime.datetime(2011, 11, 1, 0, 0), datetime.datetime(2012, 2, 1, 0, 0), datetime.datetime(2012, 5, 1, 0, 0), datetime.datetime(2012, 8, 1, 0, 0), datetime.datetime(2012, 11, 1, 0, 0), datetime.datetime(2013, 2, 1, 0, 0), datetime.datetime(2013, 5, 1, 0, 0), datetime.datetime(2013, 8, 1, 0, 0), datetime.datetime(2013, 11, 1, 0, 0), datetime.datetime(2014, 2, 1, 0, 0), datetime.datetime(2014, 5, 1, 0, 0), datetime.datetime(2014, 8, 1, 0, 0), datetime.datetime(2014, 11, 1, 0, 0), datetime.datetime(2015, 2, 1, 0, 0), datetime.datetime(2015, 5, 1, 0, 0), datetime.datetime(2015, 8, 1, 0, 0), datetime.datetime(2015, 11, 1, 0, 0), datetime.datetime(2016, 2, 1, 0, 0), datetime.datetime(2016, 5, 1, 0, 0), datetime.datetime(2016, 8, 1, 0, 0), datetime.datetime(2016, 11, 1, 0, 0), datetime.datetime(2017, 2, 1, 0, 0), datetime.datetime(2017, 5, 1, 0, 0), datetime.datetime(2017, 8, 1, 0, 0), datetime.datetime(2017, 11, 1, 0, 0), datetime.datetime(2018, 2, 1, 0, 0), datetime.datetime(2018, 5, 1, 0, 0), datetime.datetime(2018, 8, 1, 0, 0), datetime.datetime(2018, 11, 1, 0, 0)]","[-0.5956236857822589, 3.433575400578642, -1.4774988963886617, -31.185743405065054, -3.146091386927083, 3.343905876275664, -4.303249973825778, -30.4195115433691, 3.6587836781529286, nan, -23.998637378799675, -17.709305971531332, -66.00238163420742, 8.811409862219952, 1.0557985317200398, -3.5491758035700163, 4.301682248817834, 3.765503389058215, -12.491438832805134, -1.6610387557200128, -72.3570603689468, -4.448160078249274, 0.6355924830003414, -27.565065324779805, 1.7958370280633427, -25.555279839655213, -3.320231257608094, 3.003677734810992, -47.00868978766279, -2.3574622079624095, -7.727537880667024, -12.03599648572786, -52.417326370624714]"
6,-1300000,0,100000,98.88269902920777,290.37138491416346,4807,-7.268318037471233,1660,-1249293.8571770499,63277.44772891317,125,648,492,480,746,580,502,533,549,152,706.1428229501471,1313277.4477289133,1.9961108270981276,-5.719096223138771,-3.823572822971842,-7.759790203811623,-8.25563558265461,-11.144348727000644,-7.230801130147665,-3.2792681588136534,-8.933047638964979,-19.553062658496962,4807,,67074.0,"[datetime.datetime(2010, 11, 1, 0, 0), datetime.datetime(2011, 2, 1, 0, 0), datetime.datetime(2011, 5, 1, 0, 0), datetime.datetime(2011, 8, 1, 0, 0), datetime.datetime(2011, 11, 1, 0, 0), datetime.datetime(2012, 2, 1, 0, 0), datetime.datetime(2012, 5, 1, 0, 0), datetime.datetime(2012, 8, 1, 0, 0), datetime.datetime(2012, 11, 1, 0, 0), datetime.datetime(2013, 2, 1, 0, 0), datetime.datetime(2013, 5, 1, 0, 0), datetime.datetime(2013, 8, 1, 0, 0), datetime.datetime(2013, 11, 1, 0, 0), datetime.datetime(2014, 2, 1, 0, 0), datetime.datetime(2014, 5, 1, 0, 0), datetime.datetime(2014, 8, 1, 0, 0), datetime.datetime(2014, 11, 1, 0, 0), datetime.datetime(2015, 2, 1, 0, 0), datetime.datetime(2015, 5, 1, 0, 0), datetime.datetime(2015, 8, 1, 0, 0), datetime.datetime(2015, 11, 1, 0, 0), datetime.datetime(2016, 2, 1, 0, 0), datetime.datetime(2016, 5, 1, 0, 0), datetime.datetime(2016, 8, 1, 0, 0), datetime.datetime(2016, 11, 1, 0, 0), datetime.datetime(2017, 2, 1, 0, 0), datetime.datetime(2017, 5, 1, 0, 0), datetime.datetime(2017, 8, 1, 0, 0), datetime.datetime(2017, 11, 1, 0, 0), datetime.datetime(2018, 2, 1, 0, 0), datetime.datetime(2018, 5, 1, 0, 0), datetime.datetime(2018, 8, 1, 0, 0), datetime.datetime(2018, 11, 1, 0, 0)]","[8.602116377081922, -7.722316991865939, -6.7057160029816725, -4.641061392427285, -5.457340781034103, 3.308312084681002, -7.022165036384751, 11.550629149057535, -10.11299309495935, 2.061782995072805, -2.621553623795681, -13.092514521047411, -15.069859880707968, -29.530492700798998, -10.829731985560027, -2.943458537664628, -4.746472149396168, -7.450444241261823, -18.573077952097826, -8.479335879842324, -11.42157988732252, -14.540214330905629, -12.475170415982129, 7.171128479905292, -12.877800542574994, 2.7411270097526432, -6.649719053652607, -3.8391251745934536, -22.130561470200533, -25.842235811249708, -4.849252145651886, -6.759873031512953, -14.065040423201316]"
7,-1300000,100000,100000,64.22023642336674,294.5635389207713,4152,-2.9613835533531123,513,-1245888.251950882,116648.92609413409,83,649,400,945,411,547,279,386,436,16,4111.74804911809,1366648.926094134,-12.34159276397242,-0.2774841870952839,-1.9616659150765416,-0.5295429568485772,-7.676592053196865,-0.6800719986826272,-15.09217617404575,-9.344913234146992,3.1590841991078773,10.089440677295443,4152,,39405.0,"[datetime.datetime(2010, 11, 1, 0, 0), datetime.datetime(2011, 2, 1, 0, 0), datetime.datetime(2011, 5, 1, 0, 0), datetime.datetime(2011, 8, 1, 0, 0), datetime.datetime(2011, 11, 1, 0, 0), datetime.datetime(2012, 2, 1, 0, 0), datetime.datetime(2012, 5, 1, 0, 0), datetime.datetime(2012, 8, 1, 0, 0), datetime.datetime(2012, 11, 1, 0, 0), datetime.datetime(2013, 2, 1, 0, 0), datetime.datetime(2013, 5, 1, 0, 0), datetime.datetime(2013, 8, 1, 0, 0), datetime.datetime(2013, 11, 1, 0, 0), datetime.datetime(2014, 2, 1, 0, 0), datetime.datetime(2014, 5, 1, 0, 0), datetime.datetime(2014, 8, 1, 0, 0), datetime.datetime(2014, 11, 1, 0, 0), datetime.datetime(2015, 2, 1, 0, 0), datetime.datetime(2015, 5, 1, 0, 0), datetime.datetime(2015, 8, 1, 0, 0), datetime.datetime(2015, 11, 1, 0, 0), datetime.datetime(2016, 2, 1, 0, 0), datetime.datetime(2016, 5, 1, 0, 0), datetime.datetime(2016, 8, 1, 0, 0), datetime.datetime(2016, 11, 1, 0, 0), datetime.datetime(2017, 2, 1, 0, 0), datetime.datetime(2017, 5, 1, 0, 0), datetime.datetime(2017, 8, 1, 0, 0), datetime.datetime(2017, 11, 1, 0, 0), datetime.datetime(2018, 2, 1, 0, 0), datetime.datetime(2018, 5, 1, 0, 0), datetime.datetime(2018, 8, 1, 0, 0), datetime.datetime(2018, 11, 1, 0, 0)]","[0.2707318224413339, 6.212259730131605, 6.220506238751399, -4.418972601383074, 1.1883367755588716, -5.734164100947623, 3.5151338300758312, -7.682699847258284, -8.678224251160202, 3.3876104744548914, -6.5785254739867645, 0.757680966338871, -2.3884432287943187, -0.8910928439988094, -9.917447661336498, -22.61140905751339, 1.2451404178128747, 5.695081838428431, -3.3986259483032595, -2.9847372895176205, -8.290312751296927, -4.733363343009039, -32.3778076631793, -10.144906293780705, -12.029362925226485, -4.091109541116419, -9.591649708005523, -22.910246817562015, -3.534519666899007, 19.82465211466951, 4.87398678540878, -12.163393722369724, -5.447223498477252]"
8,-1300000,200000,100000,3.2794361083739405,39.629815238086366,1202,-8.399124686660437,84,-1223878.4795207367,290442.6717105354,91,400,137,121,118,133,88,41,62,11,26121.520479263272,1540442.6717105354,-16.30173471587095,-1.3129809627278974,-9.669573043161497,-3.7526240364179766,-5.253563251043847,-17.002414547685063,-18.573473269405575,-19.3184869550777,-18.41633342494025,12.843569987884496,1202,,50124.0,"[datetime.datetime(2010, 11, 1, 0, 0), datetime.datetime(2011, 2, 1, 0, 0), datetime.datetime(2011, 5, 1, 0, 0), datetime.datetime(2011, 8, 1, 0, 0), datetime.datetime(2011, 11, 1, 0, 0), datetime.datetime(2012, 2, 1, 0, 0), datetime.datetime(2012, 5, 1, 0, 0), datetime.datetime(2012, 8, 1, 0, 0), datetime.datetime(2012, 11, 1, 0, 0), datetime.datetime(2013, 2, 1, 0, 0), datetime.datetime(2013, 5, 1, 0, 0), datetime.datetime(2013, 8, 1, 0, 0), datetime.datetime(2013, 11, 1, 0, 0), datetime.datetime(2014, 2, 1, 0, 0), datetime.datetime(2014, 5, 1, 0, 0), datetime.datetime(2014, 8, 1, 0, 0), datetime.datetime(2014, 11, 1, 0, 0), datetime.datetime(2015, 2, 1, 0, 0), datetime.datetime(2015, 5, 1, 0, 0), datetime.datetime(2015, 8, 1, 0, 0), datetime.datetime(2015, 11, 1, 0, 0), datetime.datetime(2016, 2, 1, 0, 0), datetime.datetime(2016, 5, 1, 0, 0), datetime.datetime(2016, 8, 1, 0, 0), datetime.datetime(2016, 11, 1, 0, 0), datetime.datetime(2017, 2, 1, 0, 0), datetime.datetime(2017, 5, 1, 0, 0), datetime.datetime(2017, 8, 1, 0, 0), datetime.datetime(2017, 11, 1, 0, 0), datetime.datetime(2018, 2, 1, 0, 0), datetime.datetime(2018, 5, 1, 0, 0), datetime.datetime(2018, 8, 1, 0, 0), datetime.datetime(2018, 11, 1, 0, 0)]","[-17.71673346054021, -9.863752149380993, -20.89799108328941, 5.5825900346266115, -4.280043778644417, -8.154324958240641, -29.614638633134003, 1.147977667575833, -5.247292975946879, -2.790236161678325, -4.975677861210897, 0.32110147430210967, -11.268359188974578, 1.584387474844079, -12.445818134654614, -2.7158063407828448, -50.86220728603439, -3.3918380369031165, -31.226723561146883, -11.279165755285911, -35.13942385938186, -5.578001445017742, -36.825188742720414, -21.042320901881947, -7.216203360080726, -19.693820820211606, -18.411430114337424, nan, nan, -20.171249062414198, -0.16998128089077605, -27.3743185427758, -25.74000415762748]"
9,-1300000,300000,100000,6.274773298622687,111.68224133315985,3705,-5.122901254878483,124,-1214461.6038730668,318190.86631448957,18,424,518,663,502,431,342,396,343,68,35538.39612693316,1568190.8663144896,11.017345821578045,-5.78950672305125,1.7387165731349514,-4.115852013919205,-4.540609195263114,-5.551820805772584,-8.796139019988612,-6.02012017930149,-10.482001805438136,-18.175904187942432,3705,,106840.0,"[datetime.datetime(2010, 11, 1, 0, 0), datetime.datetime(2011, 2, 1, 0, 0), datetime.datetime(2011, 5, 1, 0, 0), datetime.datetime(2011, 8, 1, 0, 0), datetime.datetime(2011, 11, 1, 0, 0), datetime.datetime(2012, 2, 1, 0, 0), datetime.datetime(2012, 5, 1, 0, 0), datetime.datetime(2012, 8, 1, 0, 0), datetime.datetime(2012, 11, 1, 0, 0), datetime.datetime(2013, 2, 1, 0, 0), datetime.datetime(2013, 5, 1, 0, 0), datetime.datetime(2013, 8, 1, 0, 0), datetime.datetime(2013, 11, 1, 0, 0), datetime.datetime(2014, 2, 1, 0, 0), datetime.datetime(2014, 5, 1, 0, 0), datetime.datetime(2014, 8, 1, 0, 0), datetime.datetime(2014, 11, 1, 0, 0), datetime.datetime(2015, 2, 1, 0, 0), datetime.datetime(2015, 5, 1, 0, 0), datetime.datetime(2015, 8, 1, 0, 0), datetime.datetime(2015, 11, 1, 0, 0), datetime.datetime(2016, 2, 1, 0, 0), datetime.datetime(2016, 5, 1, 0, 0), datetime.datetime(2016, 8, 1, 0, 0), datetime.datetime(2016, 11, 1, 0, 0), datetime.datetime(2017, 2, 1, 0, 0), datetime.datetime(2017, 5, 1, 0, 0), datetime.datetime(2017, 8, 1, 0, 0), datetime.datetime(2017, 11, 1, 0, 0), datetime.datetime(2018, 2, 1, 0, 0), datetime.datetime(2018, 5, 1, 0, 0), datetime.datetime(2018, 8, 1, 0, 0), datetime.datetime(2018, 11, 1, 0, 0)]","[-21.64409753074569, -3.0178885651724316, -4.9821206960098685, -4.728455211577421, -2.1488122142916506, 2.6195522826568243, 2.8038024255413205, -3.7678915689959123, -5.602239241990871, 1.8306615865501965, -1.720094819145322, -4.443662537392656, -38.131808506803154, -14.384683758251791, 1.7974274417306042, -21.72207570086413, -40.87472745623354, -2.3913935583761403, 2.0611821852967065, -30.065038218749756, -22.524392716107187, -5.104700556258817, -16.94568079615277, -18.876137186021015, -10.891384524679133, 1.9790476747760275, -9.547584311530242, -5.857441334514942, -17.34056013152665, -7.958190254536818, -20.297726930713125, -3.2819362184052827, -25.804286799792454]"
